class,size,avg_hard_skills,avg_soft_skills,avg_teamwork,avg_creativity
1A01,31,2.24,2.33,2.27,2.36
1A04,36,2.47,2.66,2.62,2.64
1A05,31,2.25,2.24,2.41,2.28
1A12,31,2.45,2.54,2.45,2.25
1A18,26,2.38,2.47,2.36,2.27
1A20,31,2.62,2.61,2.51,2.66
1A29,26,2.5,2.54,2.57,2.71
1A30,26,2.49,2.38,2.63,2.34
1A32,31,2.52,2.54,2.47,2.2
1A44,31,2.59,2.74,2.65,2.61
1A72,26,2.37,2.46,2.39,2.4
1A76,26,2.59,2.76,2.61,2.86
1A87,26,2.54,2.63,2.46,2.62
1A90,31,2.69,2.88,2.81,2.66
1A92,31,2.09,2.27,2.16,2.08
2A06,30,2.42,2.21,2.3,2.37
2A13,30,2.16,2.24,2.33,2.36
2A46,25,2.61,2.69,2.5,2.56
2A49,36,2.43,2.5,2.49,2.59
2A71,25,2.4,2.67,2.57,2.31
2A91,36,2.39,2.39,2.32,2.36
2A98,36,2.19,2.29,2.21,2.18
2A99,26,2.42,2.56,2.5,2.55
2P06,30,2.57,2.61,2.59,2.58
2P11,30,2.55,2.61,2.72,2.57
2P14,30,2.48,2.63,2.57,2.65
2P69,31,2.29,2.42,2.43,2.13
2P74,25,2.35,2.27,2.42,2.23
2P78,30,2.66,2.62,2.6,2.69
2P81,35,2.69,2.67,2.69,2.7
3A21,25,2.43,2.41,2.27,2.14
3A30,25,2.63,2.8,2.73,2.65
3A41,25,2.29,2.48,2.42,2.5
3A69,30,2.83,2.85,2.83,2.75
3A78,30,2.52,2.73,2.65,2.35
3A86,35,2.44,2.41,2.41,2.49
3A88,30,2.86,2.78,2.96,2.83
3B21,30,2.62,2.43,2.58,2.47
3B35,25,2.42,2.55,2.43,2.37
3B36,25,2.67,2.67,2.61,2.65
3B46,35,2.34,2.4,2.35,2.46
3B49,25,2.49,2.68,2.54,2.42
3B82,30,2.36,2.5,2.5,1.91
3B90,30,2.45,2.44,2.38,2.54
3B99,30,2.47,2.67,2.59,2.64
4ARCTIC28,30,2.73,2.75,2.74,2.86
4ARCTIC50,25,2.1,2.13,2.13,2.28
4BI77,30,2.3,2.41,2.32,2.58
4BI83,30,2.7,2.58,2.69,2.37
4DS15,25,2.9,2.77,2.77,2.67
4GAMIX69,30,2.48,2.37,2.37,2.44
4INFINI28,25,2.6,2.53,2.72,2.49
4INFINI29,30,2.79,2.56,2.76,2.51
4IOSYS52,35,2.55,2.64,2.49,2.56
4IOSYS55,30,2.91,3.03,2.83,2.8
4IOSYS92,25,2.57,2.66,2.69,2.52
4NIDS18,25,2.07,2.35,2.23,2.11
4NIDS96,35,2.47,2.59,2.57,2.55
4SAE12,35,2.37,2.64,2.51,2.64
4SAE19,30,2.55,2.65,2.53,2.66
4SE64,25,2.57,2.65,2.56,2.46
4SIM66,25,2.55,2.35,2.39,2.34
4SIM81,30,2.53,2.53,2.55,2.6
4SIM88,30,2.54,2.62,2.61,2.45
4TWIN96,30,2.31,2.49,2.48,2.4
5ARCTIC38,25,2.74,2.71,2.72,2.63
5ARCTIC81,35,2.58,2.68,2.61,2.77
5BI21,30,2.44,2.48,2.4,2.59
5BI77,35,2.48,2.73,2.57,2.55
5DS88,25,2.32,2.57,2.51,2.63
5GAMIX78,35,2.51,2.68,2.64,2.55
5INFINI98,25,2.74,2.72,2.77,2.68
5NIDS65,30,2.01,2.31,2.07,2.31
5NIDS71,25,2.22,2.37,2.31,2.12
5NIDS82,30,2.47,2.63,2.5,2.49
5NIDS99,35,2.63,2.54,2.58,2.66
5SAE01,25,2.79,2.83,2.79,2.56
5SAE68,35,2.6,2.71,2.73,2.59
5SE44,30,2.42,2.52,2.55,2.57
5SE69,25,2.4,2.35,2.4,2.42
5SIM65,30,2.51,2.49,2.49,2.45
5SIM70,35,2.7,2.64,2.74,2.64
5SLEAM15,30,2.46,2.45,2.46,2.45
5SLEAM93,25,2.2,2.54,2.47,2.35
5TWIN20,30,2.52,2.5,2.49,2.58
