    # 1=Strongly Disagree;2=Disagree;3=Neutral;4=Agree;5=Strongly Agree
question_id,dimension,subdimension,question_text,target_year_level,response_scale
sa_001,creativity,innovation_problem_solving,"How confident are you in innovation problem solving?",1,1-5
sa_002,creativity,innovation_problem_solving,"How well do you perform innovation problem solving?",2,1-5
sa_003,creativity,innovation_problem_solving,"How often do you engage in innovation problem solving?",3,1-5
sa_004,creativity,innovation_problem_solving,"How comfortable are you with innovation problem solving?",1,1-5
sa_005,creativity,innovation_problem_solving,"How effectively can you innovation problem solving?",2,1-5
sa_006,creativity,innovation_problem_solving,"How confident are you in integrating feedback when solving problems creatively?",3,1-5
sa_007,creativity,innovation_problem_solving,"How well do you perform integrating feedback in creative tasks?",1,1-5
sa_008,creativity,innovation_problem_solving,"How often do you engage in generating multiple creative ideas?",2,1-5
sa_009,creativity,innovation_problem_solving,"How comfortable are you with proposing alternative solutions?",3,1-5
sa_010,creativity,algorithm_design,"How confident are you in algorithm design?",1,1-5
sa_011,creativity,algorithm_design,"How well do you perform algorithm design?",2,1-5
sa_012,creativity,algorithm_design,"How often do you engage in algorithm design?",3,1-5
sa_013,creativity,algorithm_design,"How comfortable are you with algorithm design?",1,1-5
sa_014,creativity,algorithm_design,"How effectively can you algorithm design?",2,1-5
sa_015,creativity,algorithm_design,"How confident are you in optimizing algorithm performance?",3,1-5
sa_016,creativity,algorithm_design,"How well do you perform explaining different algorithmic approaches?",1,1-5
sa_017,creativity,algorithm_design,"How often do you engage in designing efficient algorithms under constraints?",2,1-5
sa_018,creativity,algorithm_design,"How comfortable are you with explaining algorithms to others?",3,1-5
sa_019,creativity,system_architecture,"How confident are you in system architecture?",1,1-5
sa_020,creativity,system_architecture,"How well do you perform system architecture?",2,1-5
sa_021,creativity,system_architecture,"How often do you engage in system architecture?",3,1-5
sa_022,creativity,system_architecture,"How comfortable are you with system architecture?",1,1-5
sa_023,creativity,system_architecture,"How effectively can you system architecture?",2,1-5
sa_024,creativity,system_architecture,"How confident are you in organizing complex project architectures?",3,1-5
sa_025,creativity,system_architecture,"How well do you perform incorporating security in architectures?",1,1-5
sa_026,creativity,system_architecture,"How often do you engage in proposing maintainable system designs?",2,1-5
sa_027,creativity,system_architecture,"How comfortable are you with scalable architecture planning?",3,1-5
sa_028,creativity,ux_design,"How confident are you in ux design?",1,1-5
sa_029,creativity,ux_design,"How well do you perform ux design?",2,1-5
sa_030,creativity,ux_design,"How often do you engage in ux design?",3,1-5
sa_031,creativity,ux_design,"How comfortable are you with ux design?",1,1-5
sa_032,creativity,ux_design,"How effectively can you ux design?",2,1-5
sa_033,creativity,ux_design,"How confident are you in designing intuitive user experiences?",3,1-5
sa_034,creativity,ux_design,"How well do you perform gathering user feedback?",1,1-5
sa_035,creativity,ux_design,"How often do you engage in balancing aesthetics with usability?",2,1-5
sa_036,creativity,ux_design,"How comfortable are you with designing accessible interfaces?",3,1-5
sa_037,teamwork,communication_documentation,"How confident are you in communication documentation?",1,1-5
sa_038,teamwork,communication_documentation,"How well do you perform communication documentation?",2,1-5
sa_039,teamwork,communication_documentation,"How often do you engage in communication documentation?",3,1-5
sa_040,teamwork,communication_documentation,"How comfortable are you with communication documentation?",1,1-5
sa_041,teamwork,communication_documentation,"How effectively can you communication documentation?",2,1-5
sa_042,teamwork,communication_documentation,"How confident are you in structuring documentation for diverse audiences?",3,1-5
sa_043,teamwork,communication_documentation,"How well do you perform maintaining clear documentation?",1,1-5
sa_044,teamwork,communication_documentation,"How often do you engage in documenting your work?",2,1-5
sa_045,teamwork,communication_documentation,"How comfortable are you with creating practical project documentation?",3,1-5
sa_046,teamwork,code_review_collaboration,"How confident are you in code review collaboration?",1,1-5
sa_047,teamwork,code_review_collaboration,"How well do you perform code review collaboration?",2,1-5
sa_048,teamwork,code_review_collaboration,"How often do you engage in code review collaboration?",3,1-5
sa_049,teamwork,code_review_collaboration,"How comfortable are you with code review collaboration?",1,1-5
sa_050,teamwork,code_review_collaboration,"How effectively can you code review collaboration?",2,1-5
sa_051,teamwork,code_review_collaboration,"How confident are you in giving constructive feedback on code quality?",3,1-5
sa_052,teamwork,code_review_collaboration,"How well do you perform reviewing code for best practices?",1,1-5
sa_053,teamwork,code_review_collaboration,"How often do you engage in addressing code issues diplomatically?",2,1-5
sa_054,teamwork,code_review_collaboration,"How comfortable are you with mentoring during code reviews?",3,1-5
sa_055,teamwork,conflict_resolution,"How confident are you in conflict resolution?",1,1-5
sa_056,teamwork,conflict_resolution,"How well do you perform conflict resolution?",2,1-5
sa_057,teamwork,conflict_resolution,"How often do you engage in conflict resolution?",3,1-5
