question_id,dimension,subdimension,question_text,target_year_level
ss_156,soft_skills,emotional_intelligence,How comfortable are you with emotional conversations?,1
ss_148,soft_skills,leadership,How skilled are you in leadership?,2
hs_130,hard_skills,api_development,How effectively can you perform implement data encryption?,1
ss_349,soft_skills,communication_skills,How well do you perform in difficult conversations?,1
sa_180,creativity,artistic_creativity,How confident are you in using creative tools for technical communication?,2
hs_153,hard_skills,cybersecurity,How often do you engage in API security implementation?,1
tw_216,teamwork,team_building,How confident are you in leading project discussions?,1
tw_205,teamwork,delegation,How effectively can you perform coordinate multiple stakeholders?,2
hs_108,hard_skills,version_control,How often do you engage in API security implementation?,1
sa_004,creativity,innovation_problem_solving,How comfortable are you with exploring unconventional problem-solving methods?,1
ss_543,soft_skills,empathy,How well do you perform empathy?,1
hs_077,hard_skills,data_structures_algorithms,How well do you perform in cloud infrastructure management?,2
hs_129,hard_skills,api_development,How comfortable are you with machine learning algorithms?,3
ss_652,soft_skills,strategic_planning,How competent are you at strategic planning?,1
tw_164,teamwork,cultural_sensitivity,How comfortable are you with team decision-making?,3
sa_024,creativity,system_architecture,How confident are you in organizing complex project architectures?,3
tw_015,teamwork,communication_documentation,How effectively can you perform build team consensus?,2
sa_163,creativity,artistic_creativity,How comfortable are you with blending technical and artistic skills?,3
sa_075,creativity,creative_thinking,How often do you engage in creative ideation sessions?,1
hs_007,hard_skills,programming_languages,How well do you perform in code testing and debugging?,2
hs_176,hard_skills,machine_learning,How confident are you in mobile app development?,2
ss_054,soft_skills,critical_thinking,How competent are you at critical thinking?,2
hs_056,hard_skills,web_development,How confident are you in mobile app development?,1
sa_031,creativity,innovation_problem_solving,How confident are you in developing innovative solutions to complex problems?,1
sa_009,creativity,innovation_problem_solving,How comfortable are you with ambiguous problems that require creative solutions?,3
hs_147,hard_skills,cloud_computing,How well do you perform in web framework implementation?,2
hs_216,hard_skills,microservices,How confident are you in implementing CI/CD pipelines?,3
sa_041,creativity,algorithm_design,How effectively can you perform create algorithms that learn and evolve?,1
sa_133,hard_skills,database_management,How well do you perform writing efficient SQL queries?,1
sa_032,creativity,algorithm_design,How confident are you in designing efficient algorithms for novel problems?,1
sa_031,creativity,ux_design,How comfortable are you with UX design?,1
hs_240,hard_skills,containerization,How effectively can you perform implement real-time systems?,1
sa_051,creativity,algorithm_design,How effectively can you perform create algorithms that learn and evolve?,2
ss_651,soft_skills,strategic_planning,How well do you perform strategic planning?,1
tw_228,teamwork,collaborative_planning,How often do you engage in peer mentoring?,2
ss_128,soft_skills,leadership,How competent are you at leadership?,1
ss_298,soft_skills,stress_management,How often do you engage in stress management?,3
sa_035,creativity,algorithm_design,How comfortable are you with designing algorithms for emerging technologies?,1
hs_263,hard_skills,performance_optimization,How often do you engage in system monitoring and logging?,2
tw_080,teamwork,remote_collaboration,How effectively can you perform resolve team conflicts?,2
tw_150,teamwork,knowledge_sharing,How effectively can you perform build team consensus?,3
sa_085,creativity,creative_thinking,How often do you engage in creative ideation sessions?,2
ss_305,soft_skills,self_motivation,How would you rate your self motivation abilities?,1
sa_139,creativity,ux_design,How effectively can you perform create user experiences that set new standards?,3
sa_102,creativity,system_architecture,How comfortable are you with designing architectures that challenge industry norms?,3
sa_104,creativity,system_architecture,How confident are you in designing innovative system architectures?,2
sa_037,creativity,algorithm_design,How confident are you in developing creative data structures?,3
tw_093,teamwork,conflict_mediation,How often do you engage in peer mentoring?,3
ss_115,soft_skills,leadership,How confident are you in leading diverse teams?,1
tw_149,teamwork,knowledge_sharing,How comfortable are you with team decision-making?,1
sa_047,teamwork,code_review_collaboration,How well do you perform code review and collaboration?,2
tw_212,teamwork,team_building,How well do you perform in cross-functional collaboration?,3
hs_160,hard_skills,cybersecurity,How effectively can you perform implement data encryption?,3
tw_200,teamwork,delegation,How effectively can you perform resolve team conflicts?,3
hs_123,hard_skills,api_development,How often do you engage in API security implementation?,3
sa_062,teamwork,conflict_resolution,How often do you engage in balancing individual and team priorities?,2
sa_042,teamwork,communication_documentation,How confident are you in structuring documentation for diverse audiences?,3
tw_039,teamwork,project_coordination,How comfortable are you with giving peer feedback?,3
sa_064,teamwork,leadership_mentoring,How confident are you in leadership mentoring?,1
ss_353,soft_skills,communication_skills,How confident are you in communication skills?,3
hs_075,hard_skills,mobile_development,How effectively can you perform implement real-time systems?,3
tw_160,teamwork,cultural_sensitivity,How effectively can you perform coordinate multiple stakeholders?,2
sa_111,soft_skills,presentation_communication,How often do you engage in presentation and communication?,3
hs_052,hard_skills,web_development,How well do you perform in code testing and debugging?,3
tw_084,teamwork,remote_collaboration,How comfortable are you with giving peer feedback?,3
sa_061,creativity,algorithm_design,How effectively can you perform create algorithms that learn and evolve?,3
tw_124,teamwork,peer_feedback,How comfortable are you with remote team coordination?,3
tw_251,teamwork,group_problem_solving,How confident are you in managing team deadlines?,3
hs_266,hard_skills,performance_optimization,How confident are you in mobile app development?,1
